evaluation_dir,dataset,model_or_bundle,evidence,hamiltonian_mae,hamiltonian_rmse,hamiltonian_corr,hamiltonian_r2,block_abs_mae_mean,block_rel_mae_mean,density_mae,density_corr,dos_l1,dos_fermi_abs_error_ev,dos_electron_abs_error,band_mae_ev,band_near_fermi_mae_ev,band_fermi_available,has_hamiltonian_plot,has_dos_plot,has_band_plot,has_density_plot,notes
eval_outputs/SiOx_hamiltonian/envelope_mae_finetune,SiOx,SiOx_hamiltonian/envelope_mae_finetune,artifact-only,6.226245628595278e-05,0.0001835663371495058,0.9999656819960028,0.9999313651697309,6.61188080754226e-05,0.2201632318075264,,,1640.870686161372,0.0,0.0,0.049036942316536214,0.02822554165425481,True,True,True,True,False,
eval_outputs/SiOx_hamiltonian/finetune_mae_2,SiOx,SiOx_hamiltonian/finetune_mae_2,artifact-only,5.519614811777198e-05,0.0001605839609275855,0.9999737362212245,0.9999474731322352,5.8644977287633905e-05,0.2062270694772394,,,1830.6220946678118,0.0,0.0,0.038362622253504355,0.02611012688591381,True,True,True,True,False,
eval_outputs/Si_perturbed/hdo_finetune,Silicon-perturbed,Si_perturbed/hdo_finetune,artifact-only,9.454484370365049e-05,0.00016610687134097085,0.9999929350285268,0.9999858701069675,1.4232819710072208e-05,0.006574171322614432,0.00024701507734898063,0.9999326417266633,5.096453703734702,0.0,0.017223358154296875,0.02377713152279564,0.0029445878964648236,True,True,True,True,True,
eval_outputs/ZnCuSnSeS_hamiltonian/finetune_47h5,ZnCuSnSeS,ZnCuSnSeS_hamiltonian/finetune_47h5,artifact-only,0.0003068576347904573,0.000587440175473803,0.9997490711013437,0.9994982051679996,7.245190310901738e-05,0.2464538531689597,,,159.33639081353948,2.290871679817047,0.0,0.5466076291018099,0.3512255864182571,True,True,True,True,False,
eval_outputs/ZnCuSnSeS_hamiltonian/from_silicon_model,ZnCuSnSeS,ZnCuSnSeS_hamiltonian/from_silicon_model,artifact-only,0.0009475060150258936,0.001616213246917952,0.9981112721115131,0.9962261115160629,0.0002893550102958366,347.7829902619905,,,297.96799031441117,3.0041538066961753,0.0,2.004406773250552,1.3871622149873999,True,True,True,True,False,
eval_outputs/ZnCuSnSeS_hamiltonian/restart_47h,ZnCuSnSeS,ZnCuSnSeS_hamiltonian/restart_47h,artifact-only,0.0003318779639956514,0.0006112246524482835,0.9997282401086652,0.999456554070769,8.052504274628556e-05,0.25062184539277765,,,165.48733953217024,2.338823109029846,0.0,0.5888323105253627,0.39280896488270556,True,True,True,True,False,
eval_outputs/ZnCuSnSeS_hamiltonian/spectral_finetune_best_hamiltonian_mae,ZnCuSnSeS,ZnCuSnSeS_hamiltonian/spectral_finetune_best_hamiltonian_mae,artifact-only,0.00033133448401977215,0.0006116643386953133,0.9997278464409384,0.9994557669494365,7.999998677240294e-05,0.25073183426975787,,,168.4537148425272,2.007962982623188,0.0,0.644509722452089,0.18265018268396446,True,True,True,True,False,
eval_outputs/ZnCuSnSeS_hamiltonian/spectral_finetune_best_spectral_mae,ZnCuSnSeS,ZnCuSnSeS_hamiltonian/spectral_finetune_best_spectral_mae,artifact-only,0.0003674690119053813,0.0006613664116707315,0.9996818077624251,0.9993637167711502,8.898480617901124e-05,0.2533327626300663,,,164.57749289100167,1.6878026552826313,0.0,0.6278152852625595,0.13129121693161316,True,True,True,True,False,
eval_outputs/colorful-sweep-19_Silicon_cif,Silicon,colorful-sweep-19_Silicon_cif,artifact-only,,,,,,,,,,,,,,False,False,False,False,False,prediction-only band artifact; no GT comparison; no Hamiltonian correlation sidecar
eval_outputs/colorful-sweep-19_silicon_3000K,Silicon,colorful-sweep-19_silicon_3000K,artifact-only,,,,,,,,,,,,,,False,True,True,True,True,prediction-only band artifact; no GT comparison; no Hamiltonian correlation sidecar
