study,parameter,treatment,seed,synthetic_val_hamiltonian_mae_au,secondary_metric,synthetic_secondary_au
SiOx energy guidance,loss_coef_observables,0,41,82,val/energy_mae_gt_density,37
SiOx energy guidance,loss_coef_observables,0,42,88,val/energy_mae_gt_density,41
SiOx energy guidance,loss_coef_observables,0,43,79,val/energy_mae_gt_density,39
SiOx energy guidance,loss_coef_observables,0,44,91,val/energy_mae_gt_density,43
SiOx energy guidance,loss_coef_observables,0,45,85,val/energy_mae_gt_density,40
SiOx energy guidance,loss_coef_observables,0.003,41,68,val/energy_mae_gt_density,29
SiOx energy guidance,loss_coef_observables,0.003,42,73,val/energy_mae_gt_density,31
SiOx energy guidance,loss_coef_observables,0.003,43,65,val/energy_mae_gt_density,27
SiOx energy guidance,loss_coef_observables,0.003,44,76,val/energy_mae_gt_density,34
SiOx energy guidance,loss_coef_observables,0.003,45,70,val/energy_mae_gt_density,30
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0,45,94,val/spectral_mae_ev,58
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0,41,91,val/spectral_mae_ev,55
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0,42,97,val/spectral_mae_ev,61
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0,43,89,val/spectral_mae_ev,53
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0,44,93,val/spectral_mae_ev,57
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0.001,41,84,val/spectral_mae_ev,44
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0.001,42,88,val/spectral_mae_ev,48
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0.001,43,81,val/spectral_mae_ev,42
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0.001,44,86,val/spectral_mae_ev,46
ZnCuSnSeS mature spectral fine-tuning,spectral_loss_coef,0.001,45,83,val/spectral_mae_ev,43
ZnCuSnSeS node aggregation,node_update_message_agg,sum,41,76,,
ZnCuSnSeS node aggregation,node_update_message_agg,sum,42,81,,
ZnCuSnSeS node aggregation,node_update_message_agg,sum,43,74,,
ZnCuSnSeS node aggregation,node_update_message_agg,sum,44,79,,
ZnCuSnSeS node aggregation,node_update_message_agg,sum,45,77,,
ZnCuSnSeS node aggregation,node_update_message_agg,attention,41,69,,
ZnCuSnSeS node aggregation,node_update_message_agg,attention,42,73,,
ZnCuSnSeS node aggregation,node_update_message_agg,attention,43,67,,
ZnCuSnSeS node aggregation,node_update_message_agg,attention,44,71,,
ZnCuSnSeS node aggregation,node_update_message_agg,attention,45,70,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,false,41,87,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,false,42,92,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,false,43,85,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,false,44,90,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,false,45,88,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,true,41,72,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,true,42,77,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,true,43,70,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,true,44,75,,
ZnCuSnSeS shifted-self handling,separate_shifted_self,true,45,73,,
