l_max_gnn,num_layers_gnn,num_layers_matrix,edge_update_linear,edge_update,edge_update_residual,head_use_mlp_log_scale,nonlin_kind,activation_scalar,activation_gate,hidden_base_dim,neck_depth,head_depth,energy_error
3,3,3,pre,concat,False,False,gate_magnitudes,leakyrelu,sigmoid,64,5,3,
3,3,1,post,tensor_product,False,False,normact,leakyrelu,tanh,64,3,3,262.2085876464954
2,2,3,post,tensor_product,True,True,normact,silu,sigmoid,64,2,3,262.1137413904071
2,4,2,pre,replace,True,False,gate_scalars_mlp,leakyrelu,sigmoid,64,4,3,262.2084445061919
2,3,2,post,concat,False,True,gate_scalars_mlp,leakyrelu,tanh,64,4,3,262.20858714772487
3,4,2,pre,replace,True,True,normact,tanh,leakyrelu,64,3,2,232.91195678710938
3,3,1,post,concat,False,True,gate_scalars_mlp,leakyrelu,tanh,64,5,2,262.2085868109623
3,3,3,pre,replace,True,False,normact,leakyrelu,leakyrelu,64,5,4,151.3155059814453
3,3,1,post,replace,True,False,gate_magnitudes,leakyrelu,sigmoid,64,5,4,
2,4,3,post,concat,True,True,normact,leakyrelu,tanh,64,5,3,8356.308197021484
2,3,1,pre,concat,False,True,normact,tanh,sigmoid,64,5,3,263.1111134290695
2,3,3,pre,replace,False,True,gate_magnitudes,leakyrelu,sigmoid,64,2,2,
2,3,3,post,replace,False,True,gate_scalars_mlp,leakyrelu,sigmoid,64,4,4,262.20858765793616
3,3,2,post,tensor_product,True,True,gate_magnitudes,tanh,sigmoid,64,2,3,
2,2,2,pre,replace,True,False,normact,silu,leakyrelu,64,3,4,262.2086679322383
2,4,2,post,replace,True,True,gate_scalars_mlp,tanh,sigmoid,64,5,2,265.50538539886475
3,2,3,post,replace,False,False,gate_magnitudes,tanh,sigmoid,64,3,4,
2,4,2,post,concat,True,True,gate_magnitudes,leakyrelu,tanh,64,3,3,
3,4,1,post,concat,True,True,normact,tanh,tanh,64,3,3,288.8785762786865
2,4,1,pre,replace,True,False,gate_magnitudes,leakyrelu,tanh,64,3,4,
2,2,3,pre,concat,True,True,gate_scalars_mlp,silu,leakyrelu,64,2,2,262.208308126108
2,3,3,post,replace,True,False,normact,leakyrelu,sigmoid,64,5,3,181.4399871826172
3,3,3,post,concat,False,False,gate_magnitudes,leakyrelu,tanh,64,3,2,
3,4,3,pre,tensor_product,True,True,gate_magnitudes,leakyrelu,sigmoid,64,2,3,
3,3,2,post,concat,False,True,normact,tanh,leakyrelu,64,3,2,259.00442123413086
2,2,3,post,replace,False,False,gate_scalars_mlp,silu,sigmoid,64,4,3,262.20858764648307
3,2,3,pre,concat,True,False,gate_scalars_mlp,leakyrelu,tanh,64,2,2,261.91699212789536
2,4,2,post,concat,False,False,gate_scalars_mlp,leakyrelu,tanh,64,4,3,262.2085875018688
3,2,2,pre,replace,False,True,gate_scalars_mlp,silu,leakyrelu,64,2,2,262.20858764412594
3,3,1,pre,concat,False,True,gate_magnitudes,silu,leakyrelu,64,3,4,
3,4,1,post,tensor_product,False,False,normact,leakyrelu,tanh,64,3,3,262.2085876466448
3,3,2,pre,replace,False,False,gate_scalars_mlp,tanh,leakyrelu,64,5,4,262.2237889133394
2,4,2,pre,concat,True,True,gate_magnitudes,leakyrelu,sigmoid,64,4,3,
2,2,1,post,replace,True,True,gate_magnitudes,silu,tanh,64,2,3,
2,4,2,pre,tensor_product,True,True,normact,leakyrelu,tanh,64,5,2,324.6447410583496
2,2,3,post,concat,False,True,normact,leakyrelu,leakyrelu,64,5,4,263.60781466960907
3,3,3,pre,tensor_product,False,False,gate_magnitudes,leakyrelu,tanh,64,4,4,
3,4,2,post,tensor_product,False,False,normact,leakyrelu,tanh,64,5,4,262.20858764671357
3,4,2,post,replace,True,True,gate_scalars_mlp,silu,sigmoid,64,4,3,262.2084182166436
2,2,2,post,replace,False,False,gate_scalars_mlp,tanh,tanh,64,2,3,262.2102953058202
3,4,1,post,replace,False,True,normact,tanh,leakyrelu,64,3,3,262.1831685677171
3,3,1,post,replace,True,False,gate_scalars_mlp,tanh,sigmoid,64,5,4,251.23094749450684
2,4,3,post,tensor_product,True,True,gate_scalars_mlp,silu,sigmoid,64,2,2,262.59077447652817
2,3,1,pre,tensor_product,False,False,gate_magnitudes,leakyrelu,tanh,64,3,2,
2,4,1,pre,tensor_product,True,False,gate_scalars_mlp,silu,leakyrelu,64,3,4,262.20858757664496
3,3,1,pre,replace,False,True,gate_scalars_mlp,tanh,leakyrelu,64,3,2,262.20655900985
3,3,2,post,tensor_product,True,False,gate_magnitudes,tanh,leakyrelu,64,4,4,
3,3,2,pre,tensor_product,True,True,gate_scalars_mlp,leakyrelu,sigmoid,64,2,4,262.2125937566161
3,2,2,post,replace,True,False,gate_scalars_mlp,silu,leakyrelu,64,2,2,262.2084384776681
2,2,3,pre,tensor_product,True,True,gate_magnitudes,tanh,sigmoid,64,2,4,
2,3,3,pre,replace,False,True,normact,leakyrelu,sigmoid,64,2,4,262.2733314782381
2,4,3,pre,concat,False,False,normact,silu,sigmoid,64,4,3,262.2085876463536
2,4,3,post,concat,True,True,gate_magnitudes,silu,leakyrelu,64,4,3,
2,3,3,pre,tensor_product,False,False,normact,silu,sigmoid,64,5,3,262.2085876464844
2,2,2,pre,replace,False,False,gate_magnitudes,tanh,leakyrelu,64,4,2,
3,2,1,post,tensor_product,True,True,gate_magnitudes,silu,tanh,64,4,4,
3,3,2,post,concat,False,False,gate_magnitudes,silu,tanh,64,4,3,
3,3,1,post,tensor_product,False,True,gate_scalars_mlp,leakyrelu,sigmoid,64,2,4,262.2085876464843
3,4,1,post,concat,False,False,gate_scalars_mlp,tanh,sigmoid,64,2,2,262.21821388974786
3,2,2,pre,replace,False,False,gate_magnitudes,leakyrelu,tanh,64,2,4,
3,3,3,post,tensor_product,True,True,normact,leakyrelu,leakyrelu,64,2,3,309.7443161010742
2,3,3,post,tensor_product,True,True,gate_scalars_mlp,leakyrelu,tanh,64,3,2,262.20856327891124
2,4,1,pre,concat,False,True,normact,tanh,tanh,64,5,2,262.3042387664318
2,2,1,pre,replace,False,False,gate_scalars_mlp,silu,sigmoid,64,4,4,262.2085876464848
3,4,3,post,tensor_product,True,True,gate_magnitudes,silu,tanh,64,4,3,
2,2,3,post,tensor_product,True,True,gate_scalars_mlp,tanh,leakyrelu,64,2,3,262.20668211823795
2,4,1,pre,tensor_product,False,True,gate_magnitudes,leakyrelu,tanh,64,2,3,
2,4,2,post,replace,True,False,normact,leakyrelu,sigmoid,64,4,3,523.2742004394531
3,4,3,post,concat,True,True,gate_scalars_mlp,leakyrelu,tanh,64,2,3,260.97471702098846
3,4,1,pre,tensor_product,False,True,normact,silu,tanh,64,5,4,262.2085876464844
2,3,3,post,tensor_product,True,False,gate_magnitudes,leakyrelu,leakyrelu,64,2,3,
3,4,3,pre,concat,False,True,normact,leakyrelu,leakyrelu,64,4,3,263.8024682998657
