index,occupation
0.000000000000000000e+00,-2.644448107013462092e-03
1.000000000000000000e+00,-2.619934245354897401e-03
2.000000000000000000e+00,-2.604385932077278067e-03
3.000000000000000000e+00,-2.549194248241001826e-03
4.000000000000000000e+00,-2.538331207407234624e-03
5.000000000000000000e+00,-2.525564803226790743e-03
6.000000000000000000e+00,-2.023234701751670285e-03
7.000000000000000000e+00,-1.928167599821319729e-03
8.000000000000000000e+00,-1.805810030348530470e-03
9.000000000000000000e+00,-1.760436661185172140e-03
1.000000000000000000e+01,-1.637340255769885022e-03
1.100000000000000000e+01,-1.535943723224079266e-03
1.200000000000000000e+01,-1.504932883194021881e-03
1.300000000000000000e+01,-1.086198006848245520e-03
1.400000000000000000e+01,-1.075727651505921541e-03
1.500000000000000000e+01,-1.072507418862521378e-03
1.600000000000000000e+01,-4.924965624954419710e-05
1.700000000000000000e+01,-3.727887291212709370e-05
1.800000000000000000e+01,-3.277889781490034987e-05
1.900000000000000000e+01,-2.294618333620847207e-05
2.000000000000000000e+01,-2.269130436069735762e-05
2.100000000000000000e+01,-2.216462923464428491e-05
2.200000000000000000e+01,-2.102480641673847746e-05
2.300000000000000000e+01,-2.077720982225757525e-05
2.400000000000000000e+01,-2.012220453179374170e-05
2.500000000000000000e+01,-1.950621528181929723e-05
2.600000000000000000e+01,-1.713235085701831921e-05
2.700000000000000000e+01,-1.488586228002829983e-05
2.800000000000000000e+01,-1.341476179426304606e-05
2.900000000000000000e+01,1.816874127923930176e-06
3.000000000000000000e+01,1.967321901884018142e-06
3.100000000000000000e+01,2.120827396699471281e-06
3.200000000000000000e+01,2.296661043490367488e-06
3.300000000000000000e+01,2.408336752162489508e-06
3.400000000000000000e+01,2.525667257561072016e-06
3.500000000000000000e+01,2.164219425794290595e-05
3.600000000000000000e+01,2.195262573131786092e-05
3.700000000000000000e+01,2.238091864101934248e-05
3.800000000000000000e+01,3.151212756263166046e-05
3.900000000000000000e+01,3.327328978100434578e-05
4.000000000000000000e+01,3.469027158680825385e-05
4.100000000000000000e+01,2.714559701697454659e-04
4.200000000000000000e+01,2.733904882626917625e-04
4.300000000000000000e+01,3.262205509192098868e-04
4.400000000000000000e+01,3.295808978069857641e-04
4.500000000000000000e+01,3.374174912361469327e-04
4.600000000000000000e+01,3.394856067153345950e-04
4.700000000000000000e+01,3.491806816227893402e-04
4.800000000000000000e+01,3.504474882841711672e-04
4.900000000000000000e+01,6.997097254642838798e-04
5.000000000000000000e+01,7.130364138632164922e-04
5.100000000000000000e+01,7.200340404343026461e-04
5.200000000000000000e+01,8.162525397313940764e-04
5.300000000000000000e+01,8.333788899767009123e-04
5.400000000000000000e+01,8.433354947626819573e-04
5.500000000000000000e+01,8.609537454881566881e-04
5.600000000000000000e+01,8.684198873734807339e-04
5.700000000000000000e+01,8.818875460538081086e-04
5.800000000000000000e+01,8.943954498693996308e-04
5.900000000000000000e+01,9.025567841296202806e-04
6.000000000000000000e+01,9.347990037080699220e-04
6.100000000000000000e+01,1.001197940718007943e-03
6.200000000000000000e+01,1.048415928655872277e-03
6.300000000000000000e+01,1.090990830732168834e-03
6.400000000000000000e+01,1.147589867539265326e-03
6.500000000000000000e+01,1.159468436295544701e-03
6.600000000000000000e+01,2.024922821684724348e-03
6.700000000000000000e+01,2.053293448231620962e-03
6.800000000000000000e+01,2.076542256557131674e-03
6.900000000000000000e+01,2.159211473554660619e-03
7.000000000000000000e+01,2.171377499514147002e-03
7.100000000000000000e+01,2.201304116211114364e-03
7.200000000000000000e+01,3.513402086401073900e-03
7.300000000000000000e+01,3.532846685361093041e-03
7.400000000000000000e+01,3.634982622469714372e-03
7.500000000000000000e+01,3.798776241165273317e-03
7.600000000000000000e+01,3.912827661904918694e-03
7.700000000000000000e+01,4.105265636096032053e-03
7.800000000000000000e+01,2.176850448989069500e-02
7.900000000000000000e+01,2.263278530145697645e-02
8.000000000000000000e+01,2.314931821564213468e-02
8.100000000000000000e+01,2.402114379727131668e-02
8.200000000000000000e+01,2.549076715654073275e-02
8.300000000000000000e+01,2.595782295431244002e-02
8.400000000000000000e+01,5.186366147776549224e-02
8.500000000000000000e+01,5.209946133767979354e-02
8.600000000000000000e+01,5.464494593818950557e-02
8.700000000000000000e+01,9.568235555066770259e-02
8.800000000000000000e+01,7.668229744637642398e-01
8.900000000000000000e+01,7.697703416017432909e-01
9.000000000000000000e+01,7.779876858317209543e-01
9.100000000000000000e+01,8.151012162800904681e-01
9.200000000000000000e+01,8.199636670792800341e-01
9.300000000000000000e+01,8.250726517205572152e-01
9.400000000000000000e+01,8.277258338142250427e-01
9.500000000000000000e+01,8.296398319933381282e-01
9.600000000000000000e+01,8.319206262555094433e-01
9.700000000000000000e+01,8.526509423187826897e-01
9.800000000000000000e+01,9.001677714445251999e-01
9.900000000000000000e+01,9.008460366989479162e-01
1.000000000000000000e+02,9.041004513878526661e-01
1.010000000000000000e+02,9.084971256058946842e-01
1.020000000000000000e+02,9.096413574846915484e-01
1.030000000000000000e+02,9.122834347314876524e-01
